date,contest_number,n1,n2,n3,n4,n5,n6,jolly,super_star
2021-08-03,92,14,55,65,68,78,88,36,82
2021-08-05,93,28,37,41,44,52,84,86,12
2021-08-07,94,1,7,34,37,45,49,57,57
2021-08-10,95,14,16,47,49,53,56,22,59
2021-08-12,96,17,55,59,61,62,90,21,72
2021-08-14,97,53,64,72,74,87,89,39,4
2021-08-17,98,2,3,10,38,64,70,69,39
2021-08-19,99,3,4,31,80,81,87,53,53
2021-08-21,100,8,19,35,59,86,90,33,53
2021-08-24,101,12,27,43,48,63,66,18,22
2021-08-26,102,17,21,32,40,55,76,89,4
2021-08-28,103,44,54,56,63,76,77,61,75
2021-08-31,104,3,5,10,44,76,77,19,71
2021-09-02,105,5,15,39,72,76,80,12,6
2021-09-04,106,7,60,68,71,79,80,53,68
2021-09-07,107,7,20,21,31,67,89,63,89
2021-09-09,108,6,58,64,73,76,86,59,45
2021-09-11,109,1,30,36,49,75,85,33,73
2021-09-14,110,3,14,42,52,69,81,63,3
2021-09-16,111,12,16,40,46,47,83,57,16
2021-09-18,112,22,56,60,73,76,80,81,4
2021-09-21,113,5,6,29,59,68,74,54,53
2021-09-23,114,8,21,38,42,49,51,2,58
2021-09-25,115,11,19,61,62,75,76,43,24
2021-09-28,116,14,18,19,33,34,80,48,19
2021-09-30,117,7,32,33,36,45,47,43,19
2021-10-02,118,9,19,40,62,67,71,52,58
2021-10-05,119,21,40,62,66,73,85,58,67
2021-10-07,120,15,18,22,26,66,77,67,78
2021-10-09,121,7,9,70,72,77,86,53,20
2021-10-12,122,46,53,55,60,64,90,77,72
2021-10-14,123,8,14,25,59,60,88,27,31
2021-10-16,124,32,41,50,57,67,89,13,90
2021-10-19,125,21,28,38,42,66,88,60,6
2021-10-21,126,9,10,26,27,77,86,16,23
2021-10-23,127,1,11,12,15,20,83,46,80
2021-10-26,128,20,24,25,49,57,68,16,53
2021-10-28,129,2,25,34,67,73,77,36,11
2021-10-30,130,20,31,41,43,48,79,26,46
2021-11-02,131,22,27,51,55,77,86,33,42
2021-11-04,132,22,25,38,41,61,68,24,3
2021-11-06,133,6,21,56,63,81,85,51,61
2021-11-09,134,3,6,14,17,54,60,83,78
2021-11-11,135,4,23,52,65,79,88,37,53
2021-11-13,136,13,40,60,66,73,75,23,49
2021-11-16,137,7,17,19,38,66,71,90,35
2021-11-18,138,22,24,38,42,44,87,67,13
2021-11-20,139,7,48,58,60,86,87,55,22
2021-11-23,140,6,17,23,24,43,72,81,30
2021-11-25,141,84,82,45,61,88,6,16,36
2021-11-27,142,47,78,24,48,38,30,8,57
2021-11-30,143,11,34,44,64,75,82,48,5
2021-12-02,144,15,24,48,60,70,89,34,17
2021-12-04,145,37,43,68,72,76,85,27,11
2021-12-07,146,9,12,23,38,59,88,76,18
2021-12-09,147,10,48,70,75,79,83,82,77
2021-12-11,148,7,17,45,64,76,81,42,72
2021-12-14,149,35,59,64,65,68,73,50,49
2021-12-16,150,12,35,37,41,75,76,16,13
2021-12-18,151,6,31,44,57,73,77,61,80
2021-12-21,152,30,49,61,62,79,87,63,48
2021-12-23,153,11,15,17,37,54,89,8,38
2021-12-27,154,6,10,11,41,61,80,76,47
2021-12-28,155,13,19,47,70,77,83,31,59
2021-12-30,156,10,20,40,55,68,86,26,76
2022-01-03,1,9,47,50,67,73,74,85,49
2022-01-04,2,5,18,59,78,81,89,10,9
2022-01-08,3,35,42,49,63,68,78,1,33
2022-01-10,4,3,25,30,58,66,84,72,55
2022-01-11,5,15,22,24,33,38,71,47,45
2022-01-13,6,10,34,56,66,78,87,52,29
2022-01-15,7,6,19,48,51,73,89,32,40
2022-01-18,8,33,34,43,46,49,66,87,78
2022-01-20,9,32,33,37,53,77,79,76,61
2022-01-22,10,5,13,27,37,50,59,76,47
2022-01-25,11,4,13,16,21,23,50,63,79
2022-01-27,12,30,53,63,74,83,88,44,27
2022-01-29,13,1,23,63,79,82,89,68,52
2022-02-01,14,5,10,29,31,47,58,34,44
2022-02-03,15,21,26,28,35,65,77,46,60
2022-02-05,16,30,39,48,55,76,81,82,11
2022-02-08,17,36,38,57,62,64,81,68,28
2022-02-10,18,25,35,51,52,58,59,82,71
2022-02-12,19,22,27,14,68,47,77,44,45
2022-02-15,20,1,60,44,49,74,9,70,38
2022-02-17,21,77,48,67,87,85,36,38,74
2022-02-19,22,13,81,74,9,15,65,66,24
2022-02-22,23,64,15,74,9,59,29,22,16
2022-02-24,24,16,52,73,69,38,28,17,47
2022-02-26,25,87,24,38,6,84,52,4,81
2022-03-01,26,81,83,44,79,60,15,64,64
2022-03-03,27,80,31,43,40,47,33,2,21
2022-03-05,28,66,3,58,80,9,68,35,77
2022-03-08,29,16,31,15,21,80,3,24,70
2022-03-10,30,34,39,18,66,47,52,22,69
2022-03-12,31,24,32,56,41,80,76,10,11
2022-03-15,32,86,75,22,53,65,8,55,44
2022-03-17,33,14,86,55,54,52,53,34,29
2022-03-19,34,67,41,73,61,20,83,4,83
2022-03-22,35,68,88,27,74,49,30,64,11
2022-03-24,36,48,62,15,37,77,35,28,50
2022-03-26,37,74,81,89,22,38,84,72,45
2022-03-29,38,48,32,72,9,55,68,36,68
2022-03-31,39,74,59,43,64,15,51,11,39
2022-04-02,40,65,45,24,54,35,68,7,9
2022-04-05,41,5,21,48,63,83,86,30,70
2022-04-07,42,11,20,42,43,51,86,71,87
2022-04-09,43,2,22,27,42,52,89,36,19
2022-04-12,44,15,27,32,51,74,77,44,22
2022-04-14,45,5,8,22,38,50,55,12,89
2022-04-16,46,7,21,25,69,76,77,70,74
2022-04-19,47,32,41,63,71,76,89,1,24
2022-04-21,48,17,32,46,49,77,88,48,19
2022-04-23,49,6,18,23,33,57,71,65,32
2022-04-26,50,20,44,62,64,67,78,79,40
2022-04-28,51,24,61,65,67,71,90,14,74
2022-04-30,52,22,25,34,52,72,85,14,71
2022-05-03,53,13,24,44,47,66,80,46,81
2022-05-05,54,25,31,37,38,77,82,43,8
2022-05-07,55,29,41,43,46,51,81,48,39
2022-05-10,56,25,37,47,55,73,81,67,5
2022-05-12,57,21,26,28,54,80,85,4,37
2022-05-14,58,13,19,39,42,73,83,60,11
2022-05-17,59,26,29,32,48,65,79,53,61
2022-05-19,60,2,9,13,39,40,89,6,43
2022-05-21,61,2,20,25,67,78,80,71,28
2022-05-24,62,22,24,25,32,46,73,29,62
2022-05-26,63,10,14,17,32,45,87,18,70
2022-05-28,64,27,42,55,65,84,90,53,64
2022-05-31,65,21,34,35,48,63,82,17,14
2022-06-04,66,2,35,41,43,65,71,12,50
2022-06-06,67,8,22,31,53,59,86,75,74
2022-06-07,68,21,31,49,69,77,90,40,22
2022-06-09,69,4,12,20,32,56,88,25,78
2022-06-11,70,5,8,18,28,33,59,9,83
2022-06-14,71,7,34,48,50,53,67,52,52
2022-06-16,72,31,54,56,60,66,82,29,13
2022-06-18,73,2,12,16,27,74,78,58,65
2022-06-21,74,12,16,32,46,60,83,54,52
2022-06-23,75,34,37,52,55,56,66,79,16
2022-06-25,76,4,30,42,46,58,89,29,88
2022-06-28,77,19,32,36,55,71,81,48,64
2022-06-30,78,6,9,12,16,32,79,26,40
2022-07-02,79,1,5,25,34,38,66,51,21
2022-07-05,80,16,17,49,66,82,86,1,67
2022-07-07,81,17,24,25,35,66,73,54,1
2022-07-09,82,28,31,41,51,70,83,80,24
2022-07-12,83,11,56,63,66,68,72,58,68
2022-07-14,84,3,11,28,39,65,75,48,51
2022-07-16,85,28,29,38,43,62,71,75,49
2022-07-19,86,2,17,27,44,78,79,59,1
2022-07-21,87,7,14,24,43,44,90,66,19
2022-07-23,88,29,32,46,56,66,90,21,89
2022-07-26,89,8,31,34,44,56,77,36,9
2022-07-28,90,19,20,22,54,72,88,50,56
2022-07-30,91,7,25,28,62,80,87,54,49
2022-08-02,92,9,25,26,49,68,74,81,59
2022-08-04,93,20,23,45,66,83,87,16,61
2022-08-06,94,1,21,29,40,42,58,25,70
2022-08-09,95,15,25,26,29,38,39,82,41
2022-08-11,96,6,32,34,56,58,87,23,88
2022-08-13,97,8,49,62,65,83,88,45,64
2022-08-16,98,13,19,59,74,81,84,2,51
2022-08-18,99,42,71,51,5,84,25,38,9
2022-08-20,100,58,28,77,31,85,19,73,88
2022-08-23,101,7,52,51,44,47,85,89,72
2022-08-25,102,33,88,86,41,42,84,38,79
2022-08-27,103,15,5,3,80,39,45,10,83
2022-08-30,104,11,75,57,45,23,6,44,45
2022-09-01,105,19,54,2,89,13,5,40,50
2022-09-03,106,76,25,30,44,22,37,1,74
2022-09-06,107,34,11,13,19,49,52,37,27
2022-09-08,108,71,90,39,18,50,26,41,35
2022-09-10,109,66,62,70,83,75,68,30,64
2022-09-13,110,69,16,9,20,5,23,31,46
2022-09-15,111,76,72,42,27,59,34,25,35
2022-09-17,112,10,14,60,42,18,1,39,35
2022-09-20,113,50,83,1,40,38,39,44,9
2022-09-22,114,65,75,30,15,81,42,72,85
2022-09-24,115,19,65,26,49,44,35,24,32
2022-09-27,116,42,63,62,22,49,5,80,36
2022-09-29,117,35,37,86,6,46,59,84,38
2022-10-01,118,3,11,82,67,26,14,75,59
2022-10-04,119,55,68,4,9,84,80,38,55
2022-10-06,120,20,62,10,28,70,87,59,26
