date,contest_number,n1,n2,n3,n4,n5,n6,jolly,superstar,winners_6,prize_6,source_url
2009-09-05,107,15,31,39,49,64,85,56,44,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-08,108,6,13,41,71,75,86,58,36,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-10,109,17,39,41,47,77,83,63,34,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-12,110,5,21,26,45,47,49,11,29,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-15,111,26,60,61,72,85,88,73,54,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-17,112,19,32,34,63,74,89,55,85,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-19,113,4,8,20,21,44,80,77,18,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-22,114,17,40,50,73,74,82,19,28,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-24,115,5,9,25,30,76,81,6,68,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-26,116,34,69,70,73,82,90,80,77,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-29,117,10,22,24,45,67,76,71,48,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-01,118,4,19,34,52,68,77,63,47,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-03,119,28,38,59,60,71,83,54,33,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-06,120,23,24,49,69,70,72,88,4,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-08,121,1,12,17,65,70,90,24,9,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-10,122,9,33,34,52,82,83,51,16,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-13,123,5,11,40,43,56,82,7,23,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-15,124,3,29,51,55,73,81,83,23,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-17,125,8,24,45,47,72,84,78,27,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-20,126,41,47,49,55,77,90,22,75,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-22,127,29,33,34,64,65,87,37,42,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-24,128,6,26,37,38,55,73,22,63,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-27,129,38,43,44,45,63,77,42,49,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-29,130,29,37,42,52,54,59,79,18,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-10-31,131,13,16,41,49,58,76,47,23,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-03,132,22,35,44,66,71,88,76,44,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-05,133,12,20,28,57,74,85,41,6,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-07,134,9,11,70,74,75,84,80,7,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-10,135,24,32,56,59,76,81,55,85,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-12,136,37,43,49,66,73,88,10,82,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-14,137,15,27,31,40,63,82,53,88,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-17,138,16,25,28,30,39,51,9,51,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-19,139,1,35,42,55,57,62,87,14,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-21,140,36,37,50,57,73,83,69,19,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-24,141,19,47,69,71,86,87,17,49,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-26,142,26,31,32,50,61,77,55,51,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-11-28,143,3,42,52,67,78,86,57,44,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-01,144,21,25,36,51,82,90,61,66,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-03,145,19,30,34,49,54,74,2,16,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-05,146,20,63,66,74,75,77,88,58,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-09,147,9,30,50,57,62,70,31,41,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-10,148,33,36,39,50,65,70,55,5,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-12,149,10,16,40,55,66,77,36,47,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-15,150,1,4,48,53,61,85,82,84,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-17,151,1,23,32,53,66,83,56,21,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-19,152,9,15,17,34,73,83,67,15,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-22,153,6,13,17,52,64,82,24,35,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-24,154,5,25,37,52,62,79,11,77,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-28,155,34,36,61,62,78,88,55,20,,,https://lottologia.com/superenalotto/estrazioni/2009
